Date,Total
2019-04-28,215415
2019-04-29,261012
2019-04-30,252521
2019-05-01,272000
2019-05-02,246624
2019-05-03,263615
2019-05-04,268269
2019-05-05,190390
2019-05-06,177826
2019-05-07,84725
2019-05-09,84664
2019-05-10,105446
2019-05-11,123028
2019-05-12,155654
2019-05-13,99044
2019-05-14,110305
2019-05-16,83341
2019-05-17,122232
2019-05-18,153855
2019-05-19,197689
2019-05-20,94125
2019-05-21,92229
2019-05-23,89595
2019-05-24,105138
2019-05-25,214433
2019-05-26,222438
2019-05-27,101034
2019-05-28,92775
2019-05-30,116864
2019-05-31,104586
2019-06-01,175294
2019-06-02,161090
2019-06-03,109862
2019-06-04,76102
2019-06-06,85531
2019-06-07,85099
2019-06-08,162855
2019-06-09,165578
2019-06-10,85198
2019-06-11,92000
2019-06-13,121895
2019-06-14,130342
2019-06-15,111304
2019-06-16,144659
2019-06-17,97070
2019-06-18,87838
2019-06-20,77873
2019-06-21,89486
2019-06-22,267916
2019-06-23,241542
2019-06-24,85179
2019-06-25,87664
2019-06-27,82347
2019-06-28,96563
2019-06-29,155970
2019-06-30,141999
2019-07-01,106629
2019-07-02,74611
2019-07-04,74987
2019-07-05,80822
2019-07-06,150506
2019-07-07,125208
2019-07-08,118399
2019-07-09,94841
2019-07-11,120525
2019-07-12,103585
2019-07-13,159176
2019-07-14,200613
2019-07-15,198177
2019-07-16,85268
2019-07-18,81294
2019-07-19,101680
2019-07-20,153254
2019-07-21,173584
2019-07-22,108073
2019-07-23,107884
2019-07-25,83335
2019-07-26,85254
2019-07-27,145049
2019-07-28,168001
2019-07-29,113206
2019-07-30,103002
2019-08-01,94791
2019-08-02,84487
2019-08-03,159728
2019-08-04,148014
2019-08-05,77604
2019-08-06,115453
2019-08-08,109093
2019-08-09,116095
2019-08-10,137979
2019-08-11,200638
2019-08-12,217585
2019-08-13,197771
2019-08-14,190459
2019-08-15,205257
2019-08-16,155482
2019-08-17,162395
2019-08-18,140353
2019-08-19,132566
2019-08-20,113807
2019-08-22,128549
2019-08-23,112343
2019-08-24,152437
2019-08-25,168883
2019-08-26,112414
2019-08-27,116071
2019-08-29,102215
2019-08-30,92653
2019-08-31,138428
2019-09-01,186093
2019-09-02,110238
2019-09-03,77815
2019-09-05,97216
2019-09-06,113236
2019-09-07,131008
2019-09-08,157193
2019-09-09,91350
2019-09-10,88545
2019-09-11,1024
2019-09-12,108615
2019-09-13,95159
2019-09-14,141768
2019-09-15,187331
2019-09-16,168916
2019-09-17,101075
2019-09-19,500
2019-09-20,91539
2019-09-21,138996
2019-09-22,173628
2019-09-23,167572
2019-09-24,119884
2019-09-25,5398
2019-09-26,97917
2019-09-27,102664
2019-09-28,142862
2019-09-29,208079
2019-09-30,134076
2019-10-01,123375
2019-10-02,93592
2019-10-03,115843
2019-10-04,124984
2019-10-05,150596
2019-10-06,144069
2019-10-07,114059
2019-10-08,117853
2019-10-10,108156
2019-10-11,120508
2019-10-12,46407
2019-10-13,123818
2019-10-14,116449
2019-10-15,116869
2019-10-17,110894
2019-10-18,97805
2019-10-19,141858
2019-10-20,152239
2019-10-21,145254
2019-10-22,165824
2019-10-24,94547
2019-10-25,87886
2019-10-26,156089
2019-10-27,185594
2019-10-28,116320
2019-10-29,108891
2019-10-31,100477
2019-11-01,109571
2019-11-02,148770
2019-11-03,225582
2019-11-04,186006
2019-11-05,124650
2019-11-07,111165
2019-11-08,99504
2019-11-09,151227
2019-11-10,180640
2019-11-11,100002
2019-11-12,119368
2019-11-14,101570
2019-11-15,109742
2019-11-16,153170
2019-11-17,189218
2019-11-18,116883
2019-11-19,87615
2019-11-21,90190
2019-11-22,110270
2019-11-23,187760
2019-11-24,178516
2019-11-25,110492
2019-11-26,92566
2019-11-28,96207
2019-11-29,101236
2019-11-30,160410
2019-12-01,139487
2019-12-02,66593
2019-12-03,92433
2019-12-05,83399
2019-12-06,86812
2019-12-07,160762
2019-12-08,173600
2019-12-09,93904
2019-12-10,90375
2019-12-12,102181
2019-12-13,80313
2019-12-14,173502
2019-12-15,175795
2019-12-16,97521
2019-12-17,74522
2019-12-19,103489
2019-12-20,98687
2019-12-21,147276
2019-12-22,131953
2019-12-23,69563
2019-12-24,74588
2019-12-26,95159
2019-12-27,125906
2019-12-28,144381
2019-12-29,177919
2019-12-30,172197
2019-12-31,149889
